Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Nishaan,1983,131,"Action, Drama, Family",6.3,43,Surendra Mohan,Sikandar Khanna,Rajesh Khanna,Jeetendra
Prem Tapasya,1983,137,"Drama, Romance",6.1,25,Narayana Rao Dasari,Jeetendra,Rekha,Reena Roy
Pukar,1983,161,"Action, Drama, Musical",6,316,Ramesh Behl,Amitabh Bachchan,Zeenat Aman,Randhir Kapoor
Puli Bebbuli,1983,149,"Action, Family, Drama",6.3,15,K.S.R. Das,Krishnamraju,Chiranjeevi,Jaya Prada
Qayamat,1983,139,"Action, Crime, Drama",6,62,Raj N. Sippy,Dharmendra,Smita Patil,Jaya Prada
Rachna,1983,118,Family,4.8,12,Sathish,Anil Kapoor,Deepak Shankar,Jezebel
Rang Birangi,1983,180,Comedy,7.1,520,Hrishikesh Mukherjee,Amol Palekar,Parveen Babi,Farooq Shaikh
Sadma,1983,141,"Drama, Romance",8.4,3004,Balu Mahendra,Kamal Haasan,Sridevi,Gulshan Grover
Sampoorna Mahabharat,1983,155,"Action, Adventure, Drama",7.8,10,Babubhai Mistry,Jayshree Gadkar,Arvind Kumar,Dinesh Mehta
Shubh Kaamna,1983,138,"Comedy, Drama",6.3,16,K. Viswanath,Rati Agnihotri,Asrani,Utpal Dutt
Souten,1983,160,"Drama, Musical, Romance",5.7,196,Saawan Kumar Tak,Rajesh Khanna,Tina Ambani,Padmini Kolhapure
Sun Meri Laila,1983,143,Romance,6.9,11,Chander H. Bahl,Birbal,Deepika Chikhalia,Iftekhar
Sweekar Kiya Maine,1983,170,"Comedy, Drama",6.1,22,Zaheer D. Lari,Vinod Mehra,Shabana Azmi,Prema Narayan
Thanga Magan,1983,141,"Action, Drama",6.1,100,A. Jagannathan,Poornima Jayaram,Aachi Manorama,Poornima
Thoongathey Tambi Thoongathey,1983,137,Drama,6.4,108,S.P. Muthuraman,Kamal Haasan,Radha,Goundamani
Woh 7 Din,1983,139,"Drama, Romance",7.6,1145,Bapu,Anil Kapoor,Padmini Kolhapure,Naseeruddin Shah
Woh Jo Hasina,1983,121,Romance,4.6,10,Deepak Bahry,Mithun Chakraborty,Ranjeeta Kaur,Pran
Zara Si Zindagi,1983,149,"Drama, Family, Romance",7.7,93,K. Balachander,Kamal Haasan,Anita Raj,Arjun Chakraborty
Aaj Kaa M.L.A. Ram Avtar,1984,157,"Action, Drama",5.8,65,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma
Aaj Ki Awaz,1984,137,"Action, Drama, Crime",5.6,79,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan
Aan Aur Shaan,1984,130,Drama,6.4,37,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor
Aasmaan,1984,145,"Drama, Mystery",4.8,12,Tony Juneja,Rajiv Kapoor,Divya Rana,Tina Ambani
Ab Ayega Mazaa,1984,128,Comedy,6.6,85,Pankaj Parashar,Ravi Baswani,Raja Bundela,Pawan Malhotra
Abodh,1984,132,Drama,5.8,109,Hiren Nag,Tapas Pal,Madhuri Dixit,Sheela Sharma
All Rounder,1984,128,"Action, Drama",4.8,31,Mohan Kumar,Kumar Gaurav,Rati Agnihotri,Vinod Mehra
Andhi Gali,1984,152,"Drama, Thriller",5.5,13,Buddhadev Dasgupta,Deepti Naval,Mahesh Bhatt,Anil Chatterjee
Asha Jyoti,1984,142,"Drama, Family, Romance",6.3,44,Narayana Rao Dasari,Rajesh Khanna,Reena Roy,Rekha
Awaaz,1984,150,"Action, Drama, Romance",6.2,46,Shakti Samanta,Rajesh Khanna,Jaya Prada,Rakesh Roshan
Baazi,1984,125,Action,6.3,65,Raj N. Sippy,Dharmendra,Rekha,Mithun Chakraborty
Bad Aur Badnaam,1984,135,"Family, Thriller",6.2,12,Feroz Chinoy,Sanjeev Kumar,Parveen Babi,Shatrughan Sinha
Bhooka Sher,1984,165,Action,4.8,12,I.V. Sasi,Aachi Manorama,Rajinikanth,Seema
Bindiya Chamkegi,1984,139,"Comedy, Family",5.1,18,Tarun Dutt,Rekha,Vinod Mehra,Johnny Walker
Chandrawal,1984,109,Drama,8.3,39,Jayant Prabhakar,Usha Sharma,Jagat Singh Jakhar,Raju Maan
Divorce,1984,133,"Romance, Drama",5.7,7,N.D. Kothari,Sharmila Tagore,Girish Karnad,Vijayendra Ghatge
Duniya,1984,169,"Action, Drama",7,192,Ramesh Talwar,Ashok Kumar,Dilip Kumar,Rishi Kapoor
Enakkul Oruvan,1984,149,"Action, Drama",6.5,126,S.P. Muthuraman,Kamal Haasan,Shobana,Sathyaraj
Gangvaa,1984,126,"Action, Drama",5.3,26,Rajasekhar,Rajinikanth,Shabana Azmi,Sarika
Ghar Ek Mandir,1984,156,Drama,5.5,75,K. Bapaiah,Shashi Kapoor,Moushumi Chatterjee,Mithun Chakraborty
Giddh: The Vulture,1984,103,Drama,6.8,64,T.S. Ranga,Om Puri,Smita Patil,Nana Patekar
Haisiyat,1984,185,"Action, Drama, Romance",4.9,26,Narayana Rao Dasari,Jeetendra,Jaya Prada,Pran
Hanste Khelte,1984,108,Crime,5.7,23,Dayanand,Mithun Chakraborty,Zarina Wahab,Vijayendra Ghatge
Inquilaab,1984,152,"Action, Drama, Thriller",5.8,271,Rama Rao Tatineni,Amitabh Bachchan,C.S. Dubey,Utpal Dutt
Jagir,1984,135,"Action, Adventure, Drama",6.4,156,Pramod Chakravorty,Dharmendra,Zeenat Aman,Mithun Chakraborty
Jawaani,1984,160,"Romance, Action, Drama",5.6,19,Ramesh Behl,Karan Shah,Neelam Kothari,Moushumi Chatterjee
Jeene Nahi Doonga,1984,133,Action,5.9,55,Rajkumar Kohli,Dharmendra,Shatrughan Sinha,Raj Babbar
Kai Kodukkam Kai,1984,131,"Action, Drama",6.3,75,J. Mahendran,Chinnijayanth,Y.G. Mahendran,Rajinikanth
Kamla,1984,120,Drama,7.1,55,Jag Mundhra,Shabana Azmi,Deepti Naval,Marc Zuber
Karishmaa,1984,130,"Crime, Thriller",6.5,43,I.V. Sasi,Kamal Haasan,Reena Roy,Tina Ambani
Kasam Paida Karne Wale Ki,1984,145,"Action, Drama",5.7,131,Babbar Subhash,Mithun Chakraborty,Smita Patil,Salma Agha
Khabardar,1984,167,Family,5.9,23,Rama Rao Tatineni,Amitabh Bachchan,Kamal Haasan,Jaya Prada
Khandhar,1984,106,Drama,7.2,242,Mrinal Sen,Shabana Azmi,Annu Kapoor,Pankaj Kapur
Lakhon Ki Baat,1984,136,"Comedy, Musical, Romance",6.8,126,Basu Chatterjee,Sanjeev Kumar,Farooq Shaikh,Anita Raj
Maan Maryada,1984,139,Action,3.7,13,R.P. Swamy,Naseeruddin Shah,Rameshwari,Deepak Parashar
Maati Maangey Khoon,1984,128,"Action, Thriller",5.4,17,Raj Khosla,Shatrughan Sinha,Rekha,Raj Babbar
Maqsad,1984,166,"Action, Crime",5.9,83,K. Bapaiah,Rajesh Khanna,Jeetendra,Jaya Prada
Mashaal,1984,162,"Action, Drama, Family",7.3,655,Yash Chopra,Anil Kapoor,Dilip Kumar,Waheeda Rehman
Meraa Dost Meraa Dushman,1984,129,Action,5.2,12,Raj Khosla,Shatrughan Sinha,Smita Patil,Geeta Behl
Meri Adaalat,1984,131,"Action, Thriller",5.1,22,A.T. Raghu,Rajinikanth,Zeenat Aman,Sonia Sahni
Mohan Joshi Hazir Ho!,1984,130,Drama,7.1,153,Saeed Akhtar Mirza,Bhisham Sahni,Dina Pathak,Mohan Gokhale
My Dear Kuttichaathan,1984,96,"Action, Adventure, Comedy",7.5,391,Jijo Punnoose,Arvind,Sonia,Suresh
Paar,1984,141,Drama,7.6,450,Goutam Ghose,Naseeruddin Shah,Shabana Azmi,Utpal Dutt
Pakhandi,1984,138,Drama,6.5,26,Samir Ganguly,Shashi Kapoor,Sanjeev Kumar,Zeenat Aman
Party,1984,110,Drama,7.2,494,Govind Nihalani,Deepa Sahi,Ila Arun,Raju Barot
Pet Pyaar Aur Paap,1984,128,"Drama, Family",6.3,30,Durai,Raj Babbar,Smita Patil,Tanuja
Phulwari,1984,158,"Drama, Family",5.8,6,Mukul Dutt,Debashree Roy,Shashi Puri,Ashok Saraf
Purana Mandir,1984,144,"Comedy, Drama, Horror",6.4,492,Shyam Ramsay,Tulsi Ramsay,Mohnish Bahl,Arti Gupta
Pyasa Shaitan,1984,100,Horror,5,54,Joginder Shelly,Kamal Haasan,Joginder Shelly,Madhu Malhotra
Qaidi,1984,110,"Action, Drama",6.1,30,S.S. Ravichandra,Asrani,Urmila Bhatt,Bharat Bhushan
Rakta Bandhan,1984,126,"Action, Comedy, Crime",5.3,14,Rajat Rakshit,Rati Agnihotri,Birbal,Mithun Chakraborty
Ram Tera Desh,1984,140,Drama,5.8,13,Swaroop Kumar,Hema Malini,Ashok Kumar,Vijayendra Ghatge
Saaransh,1984,137,Drama,8.2,1781,Mahesh Bhatt,Rohini Hattangadi,Anupam Kher,Soni Razdan
Sasural,1984,164,"Drama, Family",5.4,11,Govind Moonis,Arun Govil,Sadhana Singh,Bharat Bhushan
Shapath,1984,128,Action,4.3,11,Ravikant Nagaich,Raj Babbar,Smita Patil,Ranjeet
Sharaabi,1984,180,"Comedy, Drama, Romance",7.4,2716,Prakash Mehra,Amitabh Bachchan,Bharat Bhushan,Chandrashekhar
Sharara,1984,135,Action,6.8,27,S.V. Rajendra Singh Babu,Raaj Kumar,Hema Malini,Shatrughan Sinha
Sunny,1984,114,"Drama, Romance",5.6,128,Raj Khosla,Sunny Deol,Amrita Singh,Dharmendra
Tarang,1984,171,Drama,6.9,47,Kumar Shahani,Amol Palekar,Smita Patil,Shreeram Lagoo
Tarkeeb,1984,136,"Action, Crime, Drama",4.6,9,Ravikant Nagaich,Mithun Chakraborty,Leena Das,Dinesh Hingoo
Teri Baahon Mein,1984,120,Romance,6.1,22,Umesh Mehra,Mohnish Bahl,Ayesha Shroff,Navin Nischol
Tohfa,1984,159,"Drama, Romance",5.2,121,K. Raghavendra Rao,Jeetendra,Jaya Prada,Sridevi
Utsav,1984,145,"Drama, Music, Romance",6.9,361,Girish Karnad,Rekha,Amjad Khan,Kulbhushan Kharbanda
Wanted: Dead or Alive,1984,145,"Action, Crime, Drama",6.5,36,Ambrish Sangal,Mithun Chakraborty,Tina Ambani,Asrani
Yaadon Ki Zanjeer,1984,128,Drama,5.4,18,Shibu Mitra,Sunil Dutt,Shashi Kapoor,Reena Roy
Yeh Desh,1984,150,"Action, Drama",5.8,38,Rama Rao Tatineni,Jeetendra,Kamal Haasan,Zeenat Aman
Zameen Aasmaan,1984,133,"Family, Drama",5.5,44,Bharat Rangachary,Shashi Kapoor,Rakhee Gulzar,Rekha
3D Saamri,1985,102,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
Aaj Ka Daur,1985,153,"Action, Drama",5.1,40,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy
Aandhi-Toofan,1985,144,Drama,6.1,49,Babbar Subhash,Shashi Kapoor,Hema Malini,Danny Denzongpa
Aar Paar,1985,125,Action,6.1,44,Shakti Samanta,Mithun Chakraborty,Rozina,Utpal Dutt
Adventures of Tarzan,1985,135,"Action, Adventure, Comedy",4.6,140,Babbar Subhash,Kimi Katkar,Dalip Tahil,Om Shivpuri
Aghaat,1985,138,"Drama, Crime",7.1,120,Govind Nihalani,Om Puri,Bharat Gopy,Pankaj Kapur
Aitbaar,1985,133,"Romance, Thriller",6.9,149,Mukul Anand,Raj Babbar,Dimple Kapadia,Danny Denzongpa
Alag Alag,1985,174,"Family, Musical, Romance",6.4,86,Shakti Samanta,Rajesh Khanna,Shashi Kapoor,Tina Ambani
Andha Oru Nimidam,1985,144,"Action, Crime, Drama",6.8,53,Major Sundarrajan,Kamal Haasan,Urvashi,Y.G. Mahendran
Ankahee,1985,135,Drama,7.1,109,Amol Palekar,Amol Palekar,Deepti Naval,Devika Mukherjee
Arjun,1985,154,"Action, Crime, Drama",7.2,866,Rahul Rawail,Sunny Deol,Dimple Kapadia,Raj Kiran
Babu,1985,148,"Drama, Family",7.1,64,A.C. Trilogchander,Rajesh Khanna,Hema Malini,Mala Sinha
Babula,1985,129,"Drama, Sci-Fi",5.9,10,Sadhu Meher,Debu Bramha,Anita Das,Gadi
Bahu Ki Awaaz,1985,147,Drama,6.3,16,Shashilal K. Nair,Vikas Anand,Bharat Bhushan,B.L. Chopra
Balidaan,1985,137,"Action, Thriller",5.6,54,S.A. Chandrashekhar,Bindu,Anuradha,Vijay Arora
Bepanaah,1985,156,"Drama, Family",6.2,42,Jagdish Sidana,Shashi Kapoor,Mithun Chakraborty,Poonam Dhillon
Bewafai,1985,145,"Drama, Romance",5.6,58,R. Thyagaraajan,Rajesh Khanna,Rajinikanth,Padmini Kolhapure
Bhagwan Shri Krishna,1985,138,"Action, Adventure, Fantasy",6,10,Ramkumar Bohra,Ajit Bhalla,Kumud Bole,Manher Desai
Bhavani Junction,1985,128,"Action, Crime, Thriller",5.8,48,H. Dinesh,Shashi Kapoor,Shatrughan Sinha,Zeenat Aman
Chaar Maharathi,1985,137,Action,4.5,8,S. Waris Ali,Tina Ambani,Master Bunty,Mithun Chakraborty
Damul,1985,106,Drama,6.7,127,Prakash Jha,Manohar Singh,Annu Kapoor,Sreela Majumdar
Dekha Pyar Tumhara,1985,138,"Comedy, Drama",5.6,38,Virendra Sharma,Kamal Haasan,Rati Agnihotri,Deven Verma
Ek Chitthi Pyar Bhari,1985,139,Drama,6.6,14,Vijay Sadanah,Raj Babbar,Reena Roy,Agha
Ek Daku Saher Mein,1985,133,Action,3.8,5,Kalidas,Ashok Kumar,Pradeep Kumar,Suresh Oberoi
Faasle,1985,146,"Drama, Romance",4.5,64,Yash Chopra,Sunil Dutt,Rekha,Rohan Kapoor
Geraftaar,1985,167,"Action, Drama",6.1,435,Prayag Raj,Kamal Haasan,Poonam Dhillon,Madhavi
Ghar Dwaar,1985,153,Drama,7.1,42,Kalpataru,Tanuja,Sachin Pilgaonkar,Raj Kiran
Ghulami,1985,199,"Action, Drama",7.2,474,J.P. Dutta,Dharmendra,Mithun Chakraborty,Naseeruddin Shah
"Hamara Shahar - Bombay, Our City",1985,82,Documentary,7.8,43,Anand Patwardhan,Deepa Arora,Rita Bhatia,Supriya Pathak
Haqeeqat,1985,148,"Crime, Drama",4.6,22,Rama Rao Tatineni,Asrani,Raj Babbar,Beena Banerjee
Holi,1985,120,"Comedy, Drama",7.4,557,Ketan Mehta,Ashutosh Gowariker,Aamir Khan,Rahul Ranade
Hoshiyar,1985,147,"Action, Comedy, Drama",4.7,33,K. Raghavendra Rao,Jeetendra,Shatrughan Sinha,Asrani
Hum Dono,1985,156,"Comedy, Family, Musical",6.6,56,B.S. Glaad,Rajesh Khanna,Hema Malini,Reena Roy
Hum Naujawan,1985,137,"Drama, Thriller",5.3,69,Dev Anand,Dev Anand,Bunty Behl,Richa Sharma
Jaan Ki Baazi,1985,139,Action,4.7,43,Ajay Kashyap,Sanjay Dutt,Anita Raj,Anuradha Patel
Jappanil Kalyanaraman,1985,138,"Action, Comedy, Romance",6,121,S.P. Muthuraman,Kamal Haasan,Radha,Sathyaraj
Jhoothi,1985,136,Comedy,6.6,129,Hrishikesh Mukherjee,Rekha,Raj Babbar,Amol Palekar
Karishma Kudrat Kaa,1985,185,"Action, Drama",6.1,57,Sunil Hingorani,Rati Agnihotri,Urmila Bhatt,Mithun Chakraborty
Karmyudh,1985,130,Action,4.4,16,Swaroop Kumar,Mithun Chakraborty,Anita Raj,Pran
Kuk Doo Koo,1985,107,Comedy,8.5,6,Parvati Menon,Chetan Hansraj,Laxmi Aishwarya,Aditya Gupte
Maa Kasam,1985,137,Action,4.4,28,Shibu Mitra,Mithun Chakraborty,Divya Rana,Ranjeet
Maha Shaktimaan,1985,109,"Action, Adventure, Fantasy",6.4,16,Swamy V.S.R.,Raj Babbar,Meenakshi Sheshadri,Kim
Mahaguru,1985,92,"Action, Comedy, Crime",4.9,21,S.S. Ravichandra,Gulshan Grover,Shafi Inamdar,Jeetendra
Mard,1985,177,"Action, Drama, Romance",6.2,1604,Manmohan Desai,Amitabh Bachchan,Amrita Singh,Nirupa Roy
Masterji,1985,178,"Comedy, Drama, Romance",6.5,95,K. Raghavendra Rao,Rajesh Khanna,Sridevi,Anita Raj
Mati Manas,1985,92,"Documentary, Drama",7.7,42,Mani Kaul,Robin Das,Anita Kanwar,Ashok Sharma
Mera Saathi,1985,140,Drama,4.9,14,K. Raghavendra Rao,Jeetendra,Jaya Prada,Rajiv Kapoor
Meraa Ghar Mere Bachche,1985,150,"Drama, Family",4.7,20,Chander Vohra,Raj Babbar,Smita Patil,Meenakshi Sheshadri
Meri Jung,1985,164,"Action, Drama",7.3,1210,Subhash Ghai,Anil Kapoor,Girish Karnad,Nutan
Mohabbat,1985,134,Romance,5.5,104,Bapu,Anil Kapoor,Vijayata Pandit,Aruna Irani
Oru Kaidhiyin Diary,1985,152,"Crime, Drama, Thriller",7,230,Bharathiraja,Kamal Haasan,Revathi,Radha
Paayum Puli,1985,130,Action,6.7,138,S.P. Muthuraman,Rajinikanth,Radha,Aachi Manorama
Padikkathavan,1985,129,Drama,7.1,346,Rajasekar,Rajinikanth,Ambika,Vijay Babu
Paroma,1985,139,Drama,6.6,160,Aparna Sen,Rakhee Gulzar,Aparna Sen,Mukul Sharma
Pataal Bhairavi,1985,148,"Fantasy, Drama",5.7,72,K. Bapaiah,Jeetendra,Jaya Prada,Pran
Paththar,1985,109,Crime,4.6,15,Deepak Bahry,Om Puri,Anuradha Patel,Deepika Chikhalia
Phaansi Ke Baad,1985,141,Drama,6,17,Harmesh Malhotra,Shatrughan Sinha,Hema Malini,Shakti Kapoor
Pighalta Aasman,1985,155,"Comedy, Drama, Romance",6.1,31,Shammi,Esmayeel Shroff,Shashi Kapoor,Rakhee Gulzar
Piya Milan,1985,132,Drama,8.3,7,K.P. Singh,Mohan Choti,C.S. Dubey,Satish Kaul
Pyar Jhukta Nahin,1985,135,"Family, Romance",6.3,175,Vijay Sadanah,Mithun Chakraborty,Padmini Kolhapure,Danny Denzongpa
Pyari Behna,1985,136,"Action, Comedy, Drama",6.8,70,Bapu,Mithun Chakraborty,Padmini Kolhapure,Tanvi Azmi
Ram Tere Kitne Nam,1985,157,Drama,6,58,P. Madhavan,Sanjeev Kumar,Rekha,Prem Chopra
Ram Teri Ganga Maili,1985,178,"Drama, Musical, Romance",6.7,962,Raj Kapoor,Rajiv Kapoor,Mandakini,Divya Rana
Ramkali,1985,141,Action,5.4,12,Shyam Ralhan,Hema Malini,Shatrughan Sinha,Nirupa Roy
Saagar,1985,186,"Drama, Romance",7.1,919,Ramesh Sippy,Rishi Kapoor,Kamal Haasan,Dimple Kapadia
Saaheb,1985,150,Drama,7.2,474,Anil Ganguly,Rakhee Gulzar,Anil Kapoor,Amrita Singh
Sanjog,1985,148,Drama,7,85,K. Viswanath,Jeetendra,Jaya Prada,Vinod Mehra
Sarfarosh,1985,157,Drama,5.2,37,Narayana Rao Dasari,Asrani,Kamini Bhatia,Bharat Bhushan
Shiva Ka Insaaf,1985,125,"Action, Adventure, Fantasy",4.6,49,Raj N. Sippy,Jackie Shroff,Poonam Dhillon,Vinod Mehra
Shri Datta Darshanam,1985,143,"Musical, Drama",8.2,19,Kamalakara Kameshwara Rao,Sarvadaman Banerjee,Ramana Murthi J.V.,Jyotirmayi
Sohni Mahiwal,1985,142,"Action, Drama, Romance",6.1,263,Kanwal Biala,Latif Faiziyev,Umesh Mehra,Sunny Deol
Sur Sangam,1985,149,"Comedy, Drama, Musical",6.8,45,K. Viswanath,Girish Karnad,Jaya Prada,Sachin Pilgaonkar
Surkhiyaan (The Headlines),1985,134,"Action, Crime, Drama",5.4,16,Ashok Tyagi,Naseeruddin Shah,Moon Moon Sen,Suresh Oberoi
Tawaif,1985,160,"Comedy, Drama, Romance",7.1,104,B.R. Chopra,Ashok Kumar,Rishi Kapoor,Rati Agnihotri
Telephone,1985,116,Thriller,6.3,27,Shyam Ramsay,Tulsi Ramsay,Shatrughan Sinha,Parveen Babi
Teri Meherbaniyan,1985,140,"Action, Crime, Drama",5.4,236,Vijay Reddy,Jackie Shroff,Poonam Dhillon,Raj Kiran
"Trikal (Past, Present, Future)",1985,137,Drama,7,255,Shyam Benegal,Leela Naidu,Neena Gupta,Anita Kanwar
Triveni,1985,131,"Crime, Drama, Mystery",5.2,6,Rajan Thakur,Rati Agnihotri,Raj Babbar,Urmila Bhatt
Wafadaar,1985,190,"Comedy, Drama",4.5,31,Narayana Rao Dasari,Pilla Srinivas,Rajinikanth,Padmini Kolhapure
Yadon Ki Kasam,1985,137,Action,6,32,Vinod Dewan,Mithun Chakraborty,Zeenat Aman,Shakti Kapoor
Yudh,1985,155,"Action, Crime, Drama",6.2,174,Rajiv Rai,Jackie Shroff,Anil Kapoor,Tina Ambani
Zabardast,1985,159,"Action, Drama",5.3,101,Nasir Hussain,Sanjeev Kumar,Sunny Deol,Rajiv Kapoor
Zamana,1985,154,"Action, Crime, Drama",6.3,47,Ramesh Talwar,Rajesh Khanna,Rishi Kapoor,Poonam Dhillon
Aakhree Raasta,1986,164,"Action, Crime, Drama",7.1,1283,Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada
Africadalli Sheela,1986,134,"Adventure, Thriller",6.6,18,Deepak Balraj Vij,Anand Balraj,Sahila Chaddha,B.S. Dwarakish
Allah-Rakha,1986,160,"Action, Drama",5.4,132,Ketan Desai,Jackie Shroff,Shammi Kapoor,Waheeda Rehman
Amma,1986,135,Drama,6.2,11,Jiten,Rakhee Gulzar,Mithun Chakraborty,Suresh Oberoi
Amrit,1986,137,"Drama, Family",7,169,Mohan Kumar,Rajesh Khanna,Smita Patil,Aruna Irani
Andheri Raat Mein Diya Tere Haath Mein,1986,129,"Comedy, Drama",6.8,56,Dada Kondke,Dada Kondke,Usha Chavan,Dina Pathak
Ankush,1986,149,"Action, Drama",7.5,398,N. Chandra,Nana Patekar,Rabia Amin,Gajanan Bangera
Asli Naqli,1986,128,Drama,4.3,38,Sudarshan Nag,Shatrughan Sinha,Rajinikanth,Anita Raj
Avinash,1986,171,"Action, Crime, Drama",6,44,Umesh Mehra,Mithun Chakraborty,Poonam Dhillon,Bindiya Goswami
Baat Ban Jaye,1986,148,Comedy,6.4,165,Bharat Rangachary,Zeenat Aman,Amol Palekar,Utpal Dutt
Babul,1986,162,Drama,4.8,9,Govind Moonis,Gyan Shivpuri,Upasna Singh,Kanchan Rawal
Badkaar,1986,129,Drama,6.7,7,Shiv Kumar,Sanjeev Kumar,Apeksha,Sadhana Singh
Bhagwaan Dada,1986,147,"Drama, Thriller",4.3,169,J. Om Prakash,Rajinikanth,Rakesh Roshan,Sridevi
Captain Nagarjuna,1986,134,"Drama, Romance",6.5,13,Rajendra Prasad V.B.,Nagarjuna Akkineni,Kushboo,Dubbing Janaki
Car Thief,1986,150,Action,7,13,Sameer Malkan,Suneil Anand,Vijayata Pandit,Kevin Mukherji
Chameli Ki Shaadi,1986,136,"Comedy, Drama, Romance",7.5,1580,Basu Chatterjee,Anil Kapoor,Amrita Singh,Om Prakash
Congregation,1986,140,Drama,6.5,15,Muzaffar Ali,Shabana Azmi,Farooq Shaikh,Rohini Hattangadi
Dahleez,1986,161,"Action, Drama",5.3,50,Ravi Chopra,Jackie Shroff,Raj Babbar,Meenakshi Sheshadri
Dharm Adhikari,1986,159,"Action, Comedy, Drama",5.8,94,K. Raghavendra Rao,M. Madhusudhana Rao,Dilip Kumar,Jeetendra
Dilwaala,1986,160,"Action, Comedy, Drama",3.7,1134,K. Muralimohana Rao,Mithun Chakraborty,Smita Patil,Meenakshi Sheshadri
Dosti Dushmani,1986,152,"Action, Drama",5.7,71,Rama Rao Tatineni,Asrani,Bhanupriya,Poonam Dhillon
Ek Aur Sikander,1986,139,"Action, Drama",6.6,18,Bhaskar Shetty,Mithun Chakraborty,Anita Raj,Rakesh Roshan
Ek Chadar Maili Si,1986,133,Drama,7.1,124,Sukhwant Dhadda,Hema Malini,Rishi Kapoor,Poonam Dhillon
Ek Main Aur Ek Tu,1986,138,Romance,6.9,17,Ravi Tandon,Shashi Kapoor,Rubina,Tanuja
Ek Pal,1986,135,Drama,6.9,43,Kalpana Lajmi,Shabana Azmi,Naseeruddin Shah,Farooq Shaikh
Gandhinagar 2nd Street,1986,137,"Comedy, Family, Romance",7.6,741,Sathyan Anthikad,Mohanlal,Karthika,Sreenivasan
Genesis,1986,105,Drama,6.7,113,Mrinal Sen,Shabana Azmi,Naseeruddin Shah,Om Puri
Haathon Ki Lakeeren,1986,139,"Musical, Drama, Family",7.3,42,Chetan Anand,Sanjeev Kumar,Zeenat Aman,Jackie Shroff
Ilzaam,1986,164,"Drama, Family",6,95,Shibu Mitra,Shashi Kapoor,Shatrughan Sinha,Raj Kiran
Insaaf Ki Awaaz,1986,162,"Action, Drama",4.8,28,D. Rama Naidu,Rekha,Anil Kapoor,Richa Sharma
Janbaaz,1986,175,"Action, Drama",6.2,662,Feroz Khan,Feroz Khan,Anil Kapoor,Dimple Kapadia
Jeeva,1986,123,"Action, Drama, Music",4.1,55,Raj N. Sippy,Sanjay Dutt,Mandakini,Amjad Khan
Kala Dhanda Goray Log,1986,158,"Drama, Family",5.7,35,Sanjay Khan,Sunil Dutt,Sanjay Khan,Anita Raj
Karma,1986,193,"Action, Adventure, Drama",7.4,1946,Subhash Ghai,Dilip Kumar,Nutan,Naseeruddin Shah
Khamosh,1986,101,"Mystery, Thriller",7.5,944,Vidhu Vinod Chopra,Shabana Azmi,Amol Palekar,Naseeruddin Shah
Kirayadar,1986,146,"Comedy, Drama",6.3,79,Basu Chatterjee,Raj Babbar,Padmini Kolhapure,Utpal Dutt
Kismetwala,1986,90,"Action, Drama",4.2,8,S.D. Narang,Mithun Chakraborty,Prem Chopra,Mohan Choti
Kondaveeti Raja,1986,140,"Action, Drama",6.3,304,K. Raghavendra Rao,Chiranjeevi,Mohan Babu,Satyanarayana Kaikala
Love 86,1986,145,"Drama, Romance",5.7,87,Esmayeel Shroff,Tanuja,Rohan Kapoor,Neelam Kothari
Maa Beti,1986,151,Drama,5.1,19,Kalpataru,Shashi Kapoor,Meenakshi Sheshadri,Sharmila Tagore
Main Balwaan,1986,130,Drama,5.8,43,Mukul Anand,Dharmendra,Mithun Chakraborty,Meenakshi Sheshadri
Massey Sahib,1986,118,Drama,7.2,105,Pradip Krishen,Raghuvir Yadav,Barry John,Arundhati Roy
Mera Haque,1986,135,Action,4.7,36,Ajay Kashyap,Sanjay Dutt,Anita Raj,Gulshan Grover
Mirch Masala,1986,128,"Drama, Thriller",7.7,1248,Ketan Mehta,Smita Patil,Naseeruddin Shah,Om Puri
Muddat,1986,135,"Action, Comedy, Crime",6,48,K. Bapaiah,Sadashiv Amrapurkar,Vikas Anand,Asrani
Naam,1986,177,"Crime, Drama, Thriller",7.5,984,Mahesh Bhatt,Nutan,Kumar Gaurav,Sanjay Dutt
Nagina,1986,137,"Fantasy, Romance",6.5,880,Harmesh Malhotra,Sridevi,Rishi Kapoor,Amrish Puri
Naseeb Apna Apna,1986,140,"Comedy, Drama",5.6,164,Rama Rao Tatineni,Rishi Kapoor,Farha Naaz,Radhika Sarathkumar
Nasihat,1986,139,"Action, Drama",5.1,32,Aravind Sen,Rajesh Khanna,Shabana Azmi,Deepti Naval
New Delhi Times,1986,123,"Drama, Mystery",7.7,173,Romesh Sharma,Shashi Kapoor,Sharmila Tagore,Om Puri
Palay Khan,1986,145,"Action, Thriller",6.5,48,Ashim S. Samanta,Jackie Shroff,Poonam Dhillon,Farha Naaz
